누적투자유치금액,기업추천수,지역명,투자일자,투자단계명,투자금액,기업가치금액,앱스토어 등록,구글플레이 등록,설립일자_분류,기술스택_개수,산업구분명_분류
146000000.0,0,수도권,20150301,Seed,46000000.0,,0,0,2017년 이전,18,None IT
1700000000.0,4,비수도권,20201215,Series A,,,0,0,2017년 이전,18,None IT
11850000000.0,1,수도권,20170828,Series B,7550000000.0,,0,0,2017년 이전,1,IT
4380000000.0,6,수도권,20160111,Seed,,,0,0,2017년 이전,17,IT
120000000.0,0,수도권,20150701,Seed,120000000.0,,0,0,2017년 이전,1,IT
298500000000.0,29,수도권,20180501,투자 단계 비공개,,,1,1,2017년 이전,48,None IT
2508800.0,6,수도권,20170801,해당없음,512000.0,5120358400.0,0,0,2017년 이전,1,IT
5000000000.0,3,수도권,20180719,Series A,3000000000.0,,0,0,2017년 이전,19,IT
19460000000.0,10,수도권,20170822,Series B,5000000000.0,19000000000.0,1,1,2017년 이전,6,IT
650000000.0,0,수도권,20130715,투자 단계 비공개,650000000.0,,0,0,2017년 이전,1,IT
1500000000.0,0,수도권,20170711,Series A,1000000000.0,,0,0,2017년 이전,1,IT
50000000.0,1,수도권,20190612,Seed,50000000.0,,0,0,2017년 이전,1,None IT
1600000000.0,1,수도권,20141222,해당없음,1000000000.0,,0,0,2017년 이전,10,IT
1300000000.0,2,수도권,20161201,투자 단계 비공개,,,1,1,2017년 이전,20,IT
1300000000.0,1,수도권,20161016,Series A,500000000.0,,0,0,2017년 이전,1,None IT
40000000.0,5,수도권,20181101,투자 단계 비공개,40000000.0,,0,0,2017년 이후,1,None IT
100000000.0,4,수도권,20180116,Angel,100000000.0,1500000000.0,0,1,2017년 이후,3,IT
140000000.0,2,수도권,20161130,투자 단계 비공개,100000000.0,,0,1,2017년 이전,19,IT
422000000.0,3,수도권,20210401,해당없음,30000000.0,,0,1,2017년 이후,29,IT
500000000.0,6,수도권,20210908,Seed,,,0,0,2017년 이후,14,None IT
200000000.0,1,수도권,20160111,투자 단계 비공개,200000000.0,,1,1,2017년 이전,1,IT
590000000.0,23,수도권,20141001,해당없음,100000000.0,,0,0,2017년 이전,33,IT
100000000.0,1,수도권,20171230,투자 단계 비공개,,,0,0,2017년 이전,18,IT
2300000000.0,9,수도권,20171031,Angel,,2000000000.0,0,0,2017년 이전,1,IT
2000000000.0,0,수도권,20120104,투자 단계 비공개,2000000000.0,,0,0,2017년 이전,1,IT
50000000.0,1,수도권,20130701,투자 단계 비공개,50000000.0,,0,0,2017년 이전,1,IT
2000000000.0,1,수도권,20161216,Series A,2000000000.0,,1,1,2017년 이전,14,IT
300000000.0,0,수도권,20120501,투자 단계 비공개,300000000.0,,0,1,2017년 이전,1,IT
1200000000.0,3,수도권,20180831,투자 단계 비공개,1200000000.0,,0,0,2017년 이후,15,IT
1400000000.0,2,수도권,20170602,Seed,,,1,1,2017년 이전,20,IT
500000000.0,0,비수도권,20200201,투자 단계 비공개,500000000.0,500000000.0,0,0,2017년 이전,1,None IT
249999999.0,0,수도권,20200312,투자 단계 비공개,249999999.0,2000000000.0,0,0,2017년 이후,1,None IT
8000000000.0,9,수도권,20210929,Series A,6000000000.0,,0,0,2017년 이전,9,IT
850000000.0,6,수도권,20180913,Seed,350000000.0,,0,0,2017년 이전,21,IT
800000000.0,36,수도권,20200701,투자 단계 비공개,,,0,0,2017년 이후,52,IT
17500000000.0,8,비수도권,20151001,투자 단계 비공개,5000000000.0,,1,1,2017년 이전,3,IT
500000000.0,2,수도권,20181221,투자 단계 비공개,500000000.0,,0,0,2017년 이전,48,IT
750000000.0,0,수도권,20161027,Series A,750000000.0,,0,0,2017년 이전,27,IT
1072000000.0,2,수도권,20211026,투자 단계 비공개,376000000.0,,1,1,2017년 이후,1,IT
700000000.0,1,수도권,20210825,Angel,500000000.0,5000000000.0,0,0,2017년 이후,18,IT
10000000000.0,39,수도권,20191230,Series B,10000000000.0,,0,0,2017년 이전,23,IT
40800000000.0,21,수도권,20180501,Seed,2400000000.0,,0,0,2017년 이후,16,IT
1560000000.0,5,수도권,20191202,Seed,,,1,1,2017년 이후,18,None IT
26880000000.0,25,수도권,20210928,Series B,13000000000.0,,0,0,2017년 이전,47,IT
6900000000.0,17,수도권,20201110,Series A,5000000000.0,,0,0,2017년 이전,24,IT
2000000000.0,0,수도권,20170930,Series A,1000000000.0,,0,0,2017년 이전,14,None IT
14000000000.0,41,수도권,20190326,Series A,2500000000.0,,0,0,2017년 이전,39,None IT
10002125.0,8,수도권,20200219,투자 단계 비공개,10002125.0,,1,1,2017년 이후,13,IT
3000000000.0,11,수도권,20181201,투자 단계 비공개,3000000000.0,,1,1,2017년 이전,27,IT
2500000000.0,6,수도권,20140901,투자 단계 비공개,2500000000.0,,1,1,2017년 이전,42,IT
414000000.0,0,비수도권,20150601,투자 단계 비공개,120000000.0,,0,0,2017년 이전,1,IT
530000000.0,3,수도권,20180326,Seed,30000000.0,,0,0,2017년 이후,14,IT
300000000.0,0,수도권,20130429,Angel,300000000.0,,0,0,2017년 이전,1,IT
100000000.0,8,수도권,20201113,Seed,100000000.0,,0,0,2017년 이후,17,IT
2000000000.0,11,수도권,20210729,Series A,2000000000.0,,0,1,2017년 이후,20,IT
1459000000.0,6,수도권,20170831,투자 단계 비공개,15000000.0,,1,1,2017년 이전,24,IT
144800000.0,0,수도권,20181003,Angel,35000000.0,,0,0,2017년 이후,1,None IT
100000000.0,0,수도권,20170501,Angel,100000000.0,,1,1,2017년 이후,1,None IT
1200000000.0,6,수도권,20200401,Seed,,,0,0,2017년 이후,11,None IT
5800000000.0,0,수도권,20140429,Series A,1500000000.0,,0,0,2017년 이전,1,IT
50000000.0,0,수도권,20141215,Seed,50000000.0,,0,1,2017년 이전,1,IT
8800000000.0,18,수도권,20211028,Series A,7000000000.0,,1,1,2017년 이후,31,IT
3800000000.0,16,수도권,20200424,Series A,2800000000.0,,1,1,2017년 이후,29,IT
6914000000.0,10,수도권,20210803,투자 단계 비공개,5400000000.0,,0,0,2017년 이후,26,IT
