투자일련번호,기업일련번호,투자일자,투자단계명,투자금액,기업가치금액,투자유치비고,보도자료발행사명,보도자료제목,보도자료url,투자기관번호
9531,159238,20210705,Series A,5000000000,,,파이낸셜 뉴스,몸캠피싱 대응 스타트업 라바웨이브|| 50억원 시리즈A 투자 유치                                                                                                                                                                                                                                                                         ,https://www.fnnews.com/news/202107051417204572,7838
9532,113455,20210915,투자 단계 비공개,400000000,,,벤처스퀘어,음성 대화형 쇼핑 '소리마켓' 개발사 와들|| 4억원 투자 유치                                                                                                                                                                                                                                                                          ,https://www.venturesquare.net/839448,1875
9535,138488,20210916,Seed,,,,,,,
9524,5264,20190117,Seed,1000020000,,,,,,
9348,155383,20210813,Seed,,,,,,,84380
9527,153063,20200605,Seed,,,,,,,20737
9529,159160,20210913,투자 단계 비공개,,,,,,,16964
9543,159373,20210806,Seed,,,,한국경제,써밋츠|| 인도네시아 예비 유니콘 레몬일로(Lemonilo)로 창업자로부터 시드 투자 유치                                                                                                                                                                                                                                                           ,https://www.summits.co.kr/post/%EB%B8%94%EB%A1%9C%EA%B7%B8-%EB%A0%88%EC%9D%B4%EC%95%84%EC%9B%83-%EB%94%94%EC%9E%90%EC%9D%B8,159374
8476,144443,20210402,Angel,400000000,1000000000,,,,,
7235,81634,20200619,Seed,300000000,,,,,,
9528,153063,20210905,Series A,,,,,,,7750||7709||20737||92463||37451||154530
9521,147746,20211018,투자 단계 비공개,,,,,,,
9516,144858,20160920,투자 단계 비공개,,,,,,,7726||26819
9542,150181,20211105,Seed,,,,,,,1233
9547,130661,20211025,Seed,,,,플래텀,,https://platum.kr/archives/174243,37801||138360
9550,108366,20211108,Series A,,,,시사뉴스,레스토랑 & 셀럽 간편식 스타트업 ㈜근본|| 시리즈A 투자 유치                                                                                                                                                                                                                                                                          ,http://www.sisa-news.com/news/article.html?no=178249,119455
9551,155793,20210804,Seed,,,,,,,7713||32610
9519,24606,20210812,투자 단계 비공개,2000000000,,,,,,110186
9520,153896,20210903,투자 단계 비공개,,,,,,,
9475,150428,20210831,Seed,,,,,,,7772
9457,158397,20170930,Series A,1000000000,,,,,,
9421,151971,20210801,Seed,500000000,,,,,,
9517,159063,20200709,Seed,3600000000,,,crunchbase,avoMD Raises $3 Million Funding Round to Accelerate No-Code Clinical Software Platform                                                                                                                                                                                                                      ,https://www.crunchbase.com/funding_round/avomd-seed--f5f3c0af,
9518,35103,20210114,투자 단계 비공개,100000000,,베트남 영화,,,,
9514,144858,20150522,투자 단계 비공개,,,,,,,7697
9501,147932,20200909,Seed,1000,,,,,,
9508,158976,20171230,투자 단계 비공개,,,,,,,158981
9507,158976,20161220,Angel,100000000,,,,,,158980
9498,158804,20210602,Seed,,,,,,,
9495,158735,20010224,투자 단계 비공개,2001,2001,,,,,
9500,74101,20200701,Seed,,,,,,,
9502,123378,20210104,Series A,,,,동아일보,아스트론시큐리티 “안랩·KB인베스트먼트로부터 시리즈A 투자 유치”                                                                                                                                                                                                                                                                        ,https://www.donga.com/news/It/article/all/20210407/106284997/2,6318||7858
9499,157075,20211020,Seed,500000000,,,Venturesquare,글로벌 아트 딜링 'VART(바트)'|| 5억원 투자 유치                                                                                                                                                                                                                                                                             ,https://www.venturesquare.net/840994,158818
9497,121769,20210623,해당없음,500000000,,,,,,31115
9351,25287,20190222,Series B,12600000000,,,,,,156814
9494,121769,20211025,해당없음,800000000,8800000000,,머니투데이,AI 상권분석→창업실패↓ '창업인'|| 프리A 투자유치                                                                                                                                                                                                                                                                               ,https://news.mt.co.kr/mtview.php?no=2021102609411952766,29763||34882||32624
9487,147094,20211006,Seed,30000000,,,,,,
9411,127130,20201110,Seed,,,,,,,7724
9326,156514,20210813,Seed,300000000,,,,,,156517
9446,158211,20210930,Seed,1250000000,,,동아일보,,https://www.donga.com/news/article/all/20211014/109714045/1,8081||78955||7795||24255
9444,158173,20201028,Angel,200000000,,,,,,34334
9492,103585,20210930,투자 단계 비공개,3000000000,,,플래텀,AI 기반 콘텐츠 테크 스타트업 ‘플라스크’|| 30억 원 규모 프리 A 투자유치                                                                                                                                                                                                                                                                ,https://platum.kr/archives/173456,7705||25616||7779||8581
9491,123723,20210801,투자 단계 비공개,500000000,,,플래텀,IT 인재 커리어 성장 플랫폼 ‘비사이드’ 운영사 진지한컴퍼니|| 중기부 팁스 프로그램 선정                                                                                                                                                                                                                                                          ,https://platum.kr/archives/173372,33197||7719
9483,115292,20211025,Series A,11000000000,,,플래텀,,https://platum.kr/archives/173376,7696||71887||158615||20737
9467,158374,20210119,Seed,500000000,5000000000,,플래텀,AI 기반 주가 예측 시그널 서비스 ‘딥트레이드’|| 5억 투자 유치                                                                                                                                                                                                                                                                       ,https://platum.kr/archives/157229,20737
5764,95962,20141201,투자 단계 비공개,,,,,,,96476
7366,115456,20181020,Series A,1000000000,,,,,,7857
9490,158662,20210820,Angel,1000000000,,,,,,158663
9489,111307,20200327,Angel,100000000,,,,,,158661
9473,156929,20211115,Seed,100000000,2000000000,,,,,
9479,125179,20210801,투자 단계 비공개,20000000,,,,,,
9474,150428,20210514,Seed,,,,,,,15151
9481,154425,20210831,Seed,2300000000,,,,,,1875||20737||83882||86290||158606
9478,125179,20190601,Angel,50000000,,,,,,
9505,481,20201101,투자 단계 비공개,,,,,,,
9511,120509,20211030,Seed,,,비공개 기관으로부터 수억 단위 시드 투자 유치,,,,
